##############################################################################
#                                                                            #
#	                Open Babel file: types.txt                           #
#                                                                            #
#  Copyright (c) 1998-2001 by OpenEye Scientific Software, Inc.              #
#  Some portions Copyright (c) 2001-2003 Geoffrey R. Hutchison               #
#  Part of the Open Babel package, under the GNU General Public License (GPL)#
#                                                                            #
#  Conversion between different external atom types                          #
#    (used by data.cpp:OBTypeTable)                                          #
#                                                                            #
#  First line specifies size of the table: # rows   # columns                #
#  Second line specifies type names used in the code                         #
#  Remaining lines specify equivalent atomic type names in each column       #
#                                                                            #
##############################################################################
183	19
INT	ATN	HYB	MMD	MM2	XYZ	ALC	HAD	MCML	C3D	SYB	MOL	MAP	DRE	XED	DOK	M3D	IDX	SBN
O.co2	8	2	20	7	O	O2	0	O	86	O.co2	9	O2	O_3	26	12	O.R	102	32
So	16	2	49	18	S	SO2	0	S	161	S.o2	30	S3	S_3	12	14	S.4	103	30
He	2	0	0	0	He	0	0	0	0	He	0	0	0	0	0	0	104	26
Be	4	0	0	0	Be	0	0	0	0	Be	0	0	0	0	0	0	105	26
Ne	10	0	0	0	Ne	0	0	0	0	Ne	0	0	0	0	0	0	106	26
Mg	12	0	0	0	Mg	0	0	0	0	Mg	0	0	0	0	0	0	107	26
Sc	21	0	0	0	Sc	0	0	0	0	Sc	0	0	0	0	0	0	108	26
Ti	22	0	0	0	Ti	0	0	0	0	Ti	0	0	0	0	0	0	109	26
Cr	24	0	0	0	Cr	0	0	0	0	Cr	0	0	0	0	0	0	110	26
Co	27	0	0	0	Co	0	0	0	0	Co	0	0	0	0	0	0	111	26
Ga	31	0	0	0	Ga	0	0	0	0	Ga	0	0	0	0	0	0	112	26
As	33	0	0	0	As	0	0	0	0	As	0	0	0	0	0	0	113	26
Kr	36	0	0	0	Kr	0	0	0	0	Kr	0	0	0	0	0	0	114	26
Rb	37	0	0	0	Rb	0	0	0	0	Rb	0	0	0	0	0	0	115	26
Sr	38	0	0	0	Sr	0	0	0	0	Sr	0	0	0	0	0	0	116	26
Y	39	0	0	0	Y	0	0	0	0	Y	0	0	0	0	0	0	117	26
